,기업명,공모가(원),기관청약경쟁률,일반청약경쟁률,상장주식수,매출액(백만원),순이익(백만원),자본금(백만원),의무보유확약비율,구주매출비율,최대주주지분율,유통가능물량(비율),공모금액(백만원),첫날손익률,최대희망공모가액차(%),주간사규모,유가증권여부,상장분기,종가
129,티에스아이,10000,1283.73,1621.1,1847000,60918,-12175,3894,4.97,25.01,45.89,38.41,18470,72,5.26,1,0,3,"17,200"
130,아모센스,12400,116.79,26.55,2779858,62028,-1196,5600,2.57,20,39.92,32.53,34470,28.23,-18.42,1,0,2,"15,900"
131,일진하이솔루스(유가),34300,1471.01,654.5,10893990,113525,15579,18156,61.52,33.33,59.6,24,373664,159.77,0,1,1,3,"89,100"
132,에스피시스템스,4900,1116.32,786.16,2000000,46873,3235,814,13.68,32,73.04,23.77,9800,159.18,0,1,0,3,"12,700"
133,코아스템,16000,868.62,751.91,2500000,12988,-6325,7858,41.74,0,28.57,52.92,40000,160,21.21,1,0,2,"41,600"
134,수산인더스트리(유가),35000,130.37,3.4,5715000,294111,53318,2000,18.94,25,60,32,200025,-7.14,-18.79,1,1,3,"32,500"
135,에프앤가이드,7000,1327.98,1353.9,1626190,21083,3479,6018,7.6,39.22,27.17,39.99,11383,83.57,7.69,0,0,4,"12,850"
136,진에어(유가),31800,274.55,134.05,12000000,719673,39333,30000,7.3,75,60,32,381600,-9.28,0,1,1,4,"28,850"
137,삼영에스앤씨,11000,1762.39,2392.84,1105000,14489,633,2209,15.27,0,49.21,35.53,12155,160,10,1,0,2,"28,600"
138,녹십자웰빙,11300,657.93,657.66,4500000,53883,5678,8876,4.49,0,45.77,48.97,50850,10.62,0,1,0,4,"12,500"
139,에스에스알,9000,928.44,1231.66,1420000,11326,2515,2831,41.62,0,33.38,25.08,12780,160,20,1,0,3,"23,400"
140,제주항공(유가),30000,378.67,448.5,5500000,510636,32007,129533,77.99,0,67.5,26.7,165000,60.33,7.14,1,1,4,"48,100"
141,뉴로메카,16900,1652.13,1181.88,1500000,7333,-6668,5029,7.6,0,22.98,34.15,25350,24.56,0,0,0,4,"21,050"
142,배럴,9500,298.48,369.78,1710000,24247,3713,3607,9.06,0,48.49,23.05,16245,42.11,0,1,0,1,"13,500"
143,브레인즈컴퍼니,25000,1428.8,1190.39,600000,14829,3734,2054,8.92,33.33,35.9,34.5,15000,160,11.11,1,0,3,"65,000"
144,피씨엘,8000,6.61,2.01,1500000,243,-1864,4460,0.46,0,41.36,39.49,12000,14.5,-38.46,1,0,1,"9,160"
145,넥스트엔터테인먼트월드,16300,214.69,33.55,2071462,122061,12028,6851,9.59,0,37,45.7,33765,11.35,0,1,0,4,"18,150"
146,토니모리(유가),32000,441.86,771.08,2940000,205150,11614,2000,55.2,0,75,20,94080,57.81,5.96,1,1,3,"50,500"
147,영우디에스피,5000,17.07,32.32,1300000,89650,10239,2792,0,0,26.49,59.07,6500,26.4,-47.37,1,0,4,"6,320"
148,에이프로,21600,1090.8,1582.52,1367917,67358,7578,3440,10.46,0,42.62,44.51,29547,159.72,0,1,0,3,"56,100"
149,맥스트,15000,1587.01,6762.75,1000000,1983,-8921,4266,39.13,0,32.94,34.19,15000,160,15.38,1,0,3,"39,000"
150,크래프톤(유가),498000,243.15,7.79,8654230,1670427,556267,4889,22.05,35.01,28.48,41.5,4309807,-8.84,0,1,1,3,"454,000"
151,SK아이이테크놀로지(유가),105000,1882.88,288.17,21390000,263037,63684,71297,63.2,0,61.2,24,2245950,47.14,0,1,1,2,"154,500"
152,데이타솔루션,3300,395.83,733.74,4600000,100820,3054,7679,23.09,30,69.15,24.71,15180,72.12,0,1,0,3,"5,680"
153,압타머사이언스,25000,830.32,1251.29,1300000,408,-3853,4463,3.27,0,21.77,50.34,32500,11,0,1,0,3,"27,750"
154,용평리조트(유가),7000,28.1,291.1,16720000,133592,3956,99990,0.1,0,57.1,30.3,117040,67.14,-23.91,1,1,2,"11,700"
155,린드먼아시아인베스트먼트,6500,640.8,1039.51,3398058,6335,2802,6750,27.4,0,74.1,13.2,22087,160,18.18,1,0,1,"16,900"
156,세틀뱅크,55000,1122,309.6,1447000,57164,11995,4633,14.8,35.94,40.81,53.7,79585,-6.18,12.24,1,0,3,"51,600"
157,그린플러스,10000,863.94,700.96,700000,42151,2213,2324,5.85,0,38.43,46.51,7000,7,0,1,0,3,"10,700"
158,메드팩토,40000,86.41,18.84,1511000,0,-37578,5048,13.83,0,34.2,51.06,60440,-10.25,-6.98,1,0,4,"35,900"
159,쿠콘,45000,1594.61,1596.32,1612319,39526,8382,3972,30.9,19.37,25.19,34.79,72554,45.56,12.5,1,0,2,"65,500"
160,롯데정보통신(유가),29800,79.33,34.22,4286000,691297,20675,71430,25.9,0,70,30,127723,-2.68,-11.83,1,1,3,"29,000"
161,마니커에프앤지,4000,1056.91,1216.48,2600000,99419,4077,5189,5.43,0,29.54,25.05,10400,73.75,0,0,0,3,"6,950"
162,펩트론,16000,699.59,1093.01,815122,3103,-2059,3250,67.4,0,12.6,62.98,13042,160,33.33,1,0,3,"41,600"
163,디자인,10100,771.73,665.04,397000,30472,2225,1330,3.86,0,57.73,42.27,4010,50.5,0,0,0,4,"15,200"
164,세종메디칼,15000,836.68,922.71,2030000,12773,3192,3388,39.75,39.9,68.9,31.1,30450,100,9.49,1,0,2,"30,000"
165,엔지스테크널러지,10000,475.6,562.94,467000,6328,1753,2500,21.2,0,48.35,37.03,4670,147,0,0,0,3,"24,700"
166,현대사료,6600,839.16,1690,1526180,106532,3513,3075,31.92,0,69.82,26.95,10073,159.85,0,1,0,2,"17,150"
167,와이더플래닛,16000,1449.22,1357.98,1000000,34760,-1452,3381,9.59,0,18,56.21,16000,25,6.67,1,0,1,"20,000"
168,대보마그네틱,31000,995.4,837.58,820000,13165,3760,1616,45.41,26.83,70.28,25.37,25420,88.71,21.57,1,0,4,"58,500"
169,녹십자랩셀,18500,733.72,799.76,2000000,34489,2260,5277,51.66,0,56.86,39.83,37000,160,16.35,1,0,2,"48,100"
170,야스,23500,28.9,0.52,2300000,82982,13064,6465,7.15,26.09,47.46,51.62,54050,-18.72,-11.32,1,0,3,"19,100"
171,아시아경제신문사,3600,280.85,12.31,8500000,32652,4325,9994,15.82,0,58.22,39.77,30600,16.94,0,1,0,3,"4,210"
172,바이옵트로,7500,205.12,68.11,1000000,16115,2235,4071,0.98,0,38.4,60.76,7500,-16.13,-11.76,1,0,4,"6,290"
173,팬젠,16500,614.46,1073,1500000,3400,-2120,4317,14.04,0,33.62,58.69,24750,35.15,0,1,0,1,22300
174,프리시젼바이오,12500,1231.23,1557.29,1500000,2409,-706,5621,1.62,0,35.68,53.83,18750,160,0,1,0,4,32500
175,우양,4200,1195.37,1037.31,3600000,107437,3933,1425,0,33.33,45.24,32.96,15120,13.93,0,1,0,4,4785
176,에브리봇,36700,576.74,159.42,1120000,49165,-902,3047,0.67,25,35.96,34.69,41104,-17.44,0,1,0,3,30300
177,하나제약(유가),26000,101.5,147.5,4081460,139331,24310,8100,0.1,0,58.3,35.79,106118,27.5,-7.14,1,1,4,33150
178,알테오젠,26000,409.2,564.78,900000,5527,1606,2930,14.4,0,35.17,47.28,23400,-17.31,0,1,0,4,21500
179,비플라이소프트,10000,111.05,26.86,1000000,24386,-3424,3144,0.76,10,33.31,59.73,10000,-9.5,-47.37,0,0,2,9050
180,에스비비테크,12400,1644.01,1657.6,1800000,6779,-2816,2972,32.54,33.33,41.04,34.1,22320,150.4,0,1,0,4,31050
181,디아이티,10000,105.14,11.1,3757500,85994,11909,1890,6.8,0,70.79,25.23,37575,6.5,-3.85,1,0,3,10650
182,플래티어,11000,1631,2498.8,1800000,39376,2685,4134,18.29,0,43.9,29.1,19800,160,10,1,0,3,28600
183,소룩스,10000,1135.7,1660.08,1973670,71108,5794,815,0.8,17.93,26.1,24.32,19737,160,0,1,0,4,26000
184,엘이티,7800,1255.9,1552.16,2197000,40933,7172,4427,24.5,0,52.56,19.85,17137,159.62,0,1,0,2,20250
185,트윔,22000,1627.34,2266.84,1220000,18260,2916,3627,9.2,0,50.41,10.93,26840,86.82,7.84,0,0,4,41100
186,디지캡,12000,979.06,931.79,584446,16311,2045,1765,4.18,38.4,20.2,51.91,7013,-9.17,14.29,1,0,3,10900
187,옵티팜,10000,94.57,463.49,2945890,13857,-1567,7108,11.6,25.32,46.29,51.33,29459,17,-16.67,1,0,4,11700
188,에코마케팅,35000,941.86,1103,1100000,19665,9306,812,0,0,57.24,23.19,38500,36,12.9,1,0,3,47600
189,미래에셋벤처투자,4500,441.4,1021.77,4500000,54949,6305,30667,3.7,0,67.2,30.73,20250,18,0,1,0,1,5310
190,제이더블유생명과학(유가),30000,224.57,220.29,2400000,125950,12864,39586,7.41,0,50,43.94,72000,43.17,-7.69,1,1,4,42950
191,레몬,7200,426,800.07,4100000,31438,-2377,17250,6.3,0,61.28,36.84,29520,44.44,0,1,0,1,10400
192,팜스빌,14000,1035.53,674.04,1811250,19833,4815,3964,7.05,13.04,69.37,27.81,25358,2.5,0,0,0,4,14350
193,제노코,36000,1452.49,2095.45,490000,32927,2198,1221,22.15,0,43.06,37.78,17640,122.5,9.09,0,0,1,80100
